trial,latency_ns,jitter_ns
0,30,0
1,30,140
2,30,10
3,30,1
4,20,21
5,30,0
6,30,10
7,31,10
8,30,1
9,20,9
10,30,10
11,30,10
12,20,10
13,30,1
14,30,9
15,421,10
16,30,401
17,30,401
18,30,0
19,20,11
20,30,11
21,30,10
22,20,10
23,30,1
24,30,9
25,30,10
26,30,10
27,21,10
28,30,1
29,30,9
30,30,10
31,30,0
32,20,10
33,30,9
34,30,9
35,20,10
36,30,0
37,30,11
38,30,11
39,30,0
40,20,10
41,31,10
42,30,11
43,20,11
44,30,0
45,20,10
46,30,10
47,30,11
48,20,11
49,30,0
50,30,10
51,30,9
52,30,1
53,20,10
54,30,10
55,31,10
56,20,9
57,30,1
58,30,10
59,30,10
60,30,10
61,20,9
62,30,1
63,30,10
64,30,10
65,30,0
66,20,11
67,30,11
68,30,10
69,21,10
70,30,1
71,20,9
72,30,10
73,30,10
74,20,10
75,30,1
76,30,9
77,30,10
78,30,10
79,20,10
80,30,1
81,30,9
82,20,10
83,31,0
84,20,11
85,30,11
86,30,10
87,20,10
88,30,0
89,30,11
90,30,11
91,30,0
92,20,10
93,30,10
94,30,11
95,20,11
96,30,0
97,30,10
98,20,9
99,30,1
100,30,10
101,30,10
102,30,10
103,20,9
104,30,1
105,30,10
106,20,10
107,30,0
108,30,11
109,30,11
110,30,0
111,20,10
112,30,9
113,30,9
114,20,10
115,30,0
116,31,10
117,30,9
118,30,1
119,30,10
120,30,10
121,30,10
122,20,9
123,30,1
124,30,10
125,20,10
126,30,1
127,30,9
128,30,10
129,30,0
130,20,10
131,30,9
132,30,9
133,20,10
134,30,0
135,30,10
136,20,9
137,30,1
138,30,10
139,30,10
140,30,1
141,30,9
142,20,351
143,30,361
144,30,10
145,30,0
146,30,1
147,30,1
148,30,10
149,30,10
150,30,0
151,30,1
152,30,1
153,30,0
154,20,0
155,20,10
156,30,21
157,20,21
158,30,20
159,30,10
160,30,1
161,30,1
162,30,0
163,20,0
164,20,11
165,30,21
166,30,10
167,20,0
168,30,10
169,30,11
170,20,1
171,30,10
172,20,10
173,30,9
174,30,9
175,30,0
176,20,0
177,30,10
178,30,11
179,30,1
180,30,10
181,30,10
182,30,1
183,30,1
184,30,0
185,30,0
186,20,0
187,20,1
188,30,1
189,30,10
190,30,10
191,30,1
192,30,1
193,20,0
194,30,10
195,20,10
196,30,9
197,30,9
198,30,10
199,20,10
200,30,9
201,20,19
202,30,20
203,30,10
204,30,0
205,30,1
206,30,11
207,30,10
208,30,0
209,20,1
210,30,11
211,30,10
212,20,0
213,30,0
214,30,1
215,30,1
216,20,0
217,30,0
218,20,1
219,30,1
220,30,10
221,30,10
222,30,0
223,30,1
224,30,1
225,30,0
226,30,10
227,20,21
228,20,21
229,30,10
230,30,0
231,30,0
232,30,1
233,30,1
234,30,0
235,30,0
236,40,1
237,20,9
238,30,10
239,30,0
240,30,0
241,30,1
242,30,1
243,20,0
244,31,10
245,30,11
246,30,1
247,30,0
248,30,0
249,30,11
250,30,21
251,30,20
252,30,20
253,30,10
254,30,1
255,30,1
256,30,0
257,30,0
258,30,1
259,30,1
260,30,0
261,20,0
262,20,0
263,20,1
264,30,11
265,30,10
266,30,0
267,30,1
268,30,1
269,30,0
270,30,0
271,30,0
272,30,1
273,40,1
274,30,0
275,30,0
276,30,9
277,30,19
278,30,10
279,30,10
280,20,10
281,30,9
282,30,9
283,30,0
284,30,0
285,30,1
286,20,1
287,20,10
288,30,10
289,30,0
290,30,1
291,30,1
292,30,0
293,20,0
294,30,9
295,30,9
296,30,0
297,30,0
298,20,0
299,30,9
300,30,9
301,30,0
302,30,10
303,30,11
304,30,1
305,30,10
306,30,10
307,30,10
308,30,11
309,30,11
310,20,10
311,30,10
312,30,10
313,20,1
314,30,1
315,31,10
316,30,101
317,20,91
318,30,10
319,30,10
320,30,10
321,30,11
322,20,11
323,30,0
324,30,10
325,30,10
326,30,1
327,20,9
328,30,10
329,30,10
330,20,9
331,30,1
332,30,10
333,30,10
334,30,10
335,20,9
336,30,1
337,30,10
338,30,10
339,30,0
340,20,11
341,30,11
342,30,10
343,20,10
344,30,1
345,30,9
346,30,10
347,30,10
348,20,10
349,30,1
350,30,9
351,30,10
352,30,0
353,20,10
354,30,9
355,30,9
356,20,10
357,30,0
358,30,11
359,30,11
360,30,0
361,20,10
362,31,10
363,30,11
364,20,11
365,30,0
366,30,10
367,30,10
368,30,1
369,20,9
370,30,10
371,30,10
372,20,9
373,30,1
374,30,10
375,30,10
376,31,0
377,30,11
378,30,11
379,30,10
380,20,10
381,30,0
382,30,11
383,20,11
384,30,0
385,30,10
386,30,9
387,30,1
388,20,10
389,30,10
390,31,10
391,20,9
392,30,1
393,30,10
394,20,10
395,30,0
396,30,11
397,30,11
398,30,10
399,20,10
400,30,1
401,30,9
402,20,10
403,30,0
404,31,10
405,30,9
406,30,1
407,20,10
408,30,10
409,30,10
410,20,9
411,30,1
412,30,10
413,20,10
414,30,0
415,30,11
416,30,11
417,30,0
418,21,10
419,30,9
420,30,9
421,20,10
422,30,0
423,30,10
424,20,9
425,30,1
426,30,10
427,20,10
428,30,0
429,30,11
430,30,11
431,30,10
432,20,10
433,30,1
434,30,9
435,20,10
436,30,0
437,30,10
438,20,9
439,30,1
440,30,10
441,30,10
442,30,0
443,20,11
444,30,11
445,30,10
