trial,latency_ns,jitter_ns
0,30,0
1,40,141
2,30,21
3,30,10
4,20,0
5,20,11
6,20,21
7,20,0
8,20,0
9,20,0
10,30,11
11,30,1
12,30,10
13,30,10
14,31,10
15,20,19
16,30,9
17,20,10
18,20,0
19,31,9
20,30,1
21,20,10
22,30,10
23,20,0
24,30,10
25,30,11
26,20,11
27,30,10
28,31,0
29,20,9
30,30,9
31,30,0
32,20,10
33,30,10
34,20,10
35,30,11
36,30,1
37,20,10
38,30,10
39,30,0
40,20,9
41,30,9
42,20,0
43,30,10
44,31,11
45,20,11
46,30,10
47,30,0
48,20,10
49,30,10
50,30,1
51,20,11
52,30,10
53,20,10
54,31,11
55,30,1
56,20,10
57,30,10
58,30,0
59,20,10
60,30,11
61,20,1
62,30,10
63,30,10
64,20,9
65,30,9
66,30,0
67,20,10
68,30,10
69,20,1
70,20,11
71,30,10
72,20,10
73,30,10
74,30,0
75,20,9
76,30,9
77,30,0
78,20,10
79,31,11
80,20,11
81,30,10
82,30,0
83,20,10
84,29,10
85,30,1
86,20,11
87,30,10
88,20,0
89,31,9
90,30,9
91,20,10
92,30,10
93,30,0
94,20,10
95,30,11
96,30,1
97,20,10
98,30,10
99,20,9
100,30,9
101,30,0
102,20,10
103,30,10
104,31,1
105,20,11
106,30,10
107,20,10
108,30,10
109,29,0
110,20,9
111,30,9
112,30,0
113,20,10
114,31,11
115,20,11
116,30,10
117,30,0
118,20,10
119,29,10
120,30,1
121,20,11
122,30,10
123,20,10
124,31,11
125,30,1
126,20,10
127,30,10
128,20,0
129,29,10
130,30,11
131,20,11
132,30,10
133,30,0
134,20,9
135,30,9
136,20,0
137,30,10
138,30,10
139,20,10
140,30,11
141,30,1
142,20,10
143,30,10
144,20,9
145,30,9
146,30,0
147,20,10
148,30,10
149,20,1
150,30,11
151,30,10
152,20,10
153,30,10
154,29,0
155,20,9
156,30,9
157,20,10
158,30,10
159,31,1
160,20,11
161,30,10
162,20,0
163,30,10
164,29,10
165,20,9
166,30,9
167,30,0
168,20,10
169,31,11
170,20,11
171,30,10
172,30,0
173,20,10
174,29,10
175,20,10
176,30,11
177,30,1
178,20,10
179,31,10
180,20,1
181,30,11
182,30,10
183,20,10
184,29,10
185,30,1
186,20,11
187,30,10
188,20,10
189,31,10
190,30,1
191,20,11
192,30,10
193,20,0
194,29,10
195,30,11
196,20,11
197,30,10
198,20,0
199,31,10
200,30,10
201,20,9
202,30,9
203,30,0
204,20,10
205,30,11
206,20,11
207,30,10
208,30,0
209,20,10
210,30,10
211,20,9
212,30,9
213,30,0
214,20,10
215,30,11
216,20,1
217,30,10
218,30,10
219,20,10
220,30,10
221,30,1
222,20,11
223,30,10
224,20,10
225,30,11
226,30,1
227,20,10
228,30,10
229,20,10
230,30,10
231,30,1
232,20,11
233,30,10
234,20,0
235,30,9
236,30,9
237,20,10
238,30,10
239,29,0
240,20,10
241,30,11
242,20,11
243,30,10
244,31,0
245,20,9
246,30,9
247,20,10
248,30,10
249,29,0
250,20,10
251,30,11
252,20,1
253,30,10
254,31,10
255,20,9
256,30,9
257,30,0
258,20,10
259,29,10
260,20,10
261,30,11
262,30,1
263,20,10
264,31,10
265,30,0
266,20,9
267,30,9
268,20,10
269,29,10
270,30,1
271,20,11
272,30,10
273,20,0
274,31,10
275,30,10
276,20,9
277,30,9
278,30,0
279,20,10
280,30,11
281,20,1
282,30,10
283,30,10
284,20,10
285,30,10
286,30,1
287,20,11
288,30,10
289,20,0
290,30,9
291,30,9
292,20,10
293,30,10
294,29,0
295,20,10
296,30,11
297,20,1
298,30,10
299,31,10
300,20,9
301,30,9
302,30,0
303,20,10
304,29,10
305,30,1
306,20,11
307,30,10
308,20,10
309,31,10
310,30,0
311,20,9
312,30,9
313,30,0
314,20,10
315,30,11
316,20,11
317,30,10
318,30,0
319,20,10
320,30,10
321,30,1
322,20,11
323,30,10
324,20,10
325,30,11
326,30,1
327,20,10
328,30,10
329,29,0
330,20,10
331,30,11
332,20,1
333,30,10
334,31,10
335,20,9
336,30,9
337,30,0
338,20,10
339,29,10
340,20,1
341,30,11
342,30,10
343,20,10
344,31,10
345,30,0
346,20,9
347,30,9
348,30,0
349,20,10
350,30,11
351,20,11
352,30,10
353,30,0
354,20,10
355,30,10
356,30,1
357,20,11
358,30,10
359,20,0
360,30,9
361,30,9
362,20,10
363,30,10
364,29,0
365,20,10
366,30,11
367,30,1
368,20,10
369,31,10
370,20,9
371,30,9
372,30,0
373,20,10
374,29,10
375,30,1
376,20,11
377,30,10
378,20,0
379,31,10
380,30,10
381,20,9
382,30,9
383,30,0
384,20,10
385,30,11
386,30,1
387,20,10
388,30,10
389,20,10
390,30,10
391,30,1
392,20,11
393,30,10
394,31,0
395,20,9
396,30,9
397,20,0
398,30,10
399,29,10
400,20,10
401,30,11
402,30,1
403,20,10
404,31,10
405,30,0
406,20,9
407,30,9
408,20,10
409,29,10
410,30,1
411,20,11
412,30,10
413,30,0
414,20,10
415,30,10
416,30,1
417,20,11
418,30,10
419,20,10
420,30,11
421,30,1
422,20,10
423,30,10
424,29,0
425,20,10
426,30,11
427,20,11
428,30,10
429,31,0
430,20,9
431,30,9
432,30,0
433,20,10
434,29,10
435,20,10
436,30,11
437,30,1
438,20,10
439,31,10
440,20,0
441,30,9
442,30,9
443,20,10
444,30,10
445,30,41
446,20,51
447,30,10
448,20,10
449,31,10
450,30,0
451,20,9
452,30,9
453,20,0
454,29,10
455,30,11
456,20,11
457,30,10
458,30,0
459,20,10
460,30,10
461,20,9
462,30,9
463,30,0
464,20,10
465,30,11
466,20,11
467,30,10
468,30,0
469,20,10
470,30,10
471,20,1
472,30,11
473,30,10
474,20,10
475,30,11
476,30,1
477,20,10
478,30,10
479,20,10
480,30,10
481,30,1
482,20,11
483,30,10
484,20,10
485,30,11
486,30,1
487,20,10
488,30,10
489,20,0
490,30,10
491,30,11
492,20,11
493,30,10
494,31,0
495,20,9
496,30,9
497,20,10
498,30,10
499,29,0
500,20,10
501,30,11
502,20,11
503,30,10
504,31,0
505,20,9
506,30,9
507,20,0
508,30,10
509,29,10
510,20,10
511,30,11
512,20,1
513,30,10
514,31,10
515,20,9
516,30,9
517,30,0
518,20,10
519,29,10
520,20,10
521,30,11
522,30,1
523,20,10
524,31,10
525,20,9
526,30,9
527,30,0
528,20,10
529,29,10
530,20,1
531,30,11
532,30,10
533,20,10
534,31,10
535,20,0
536,30,9
537,30,9
538,20,10
539,29,10
540,30,1
541,20,11
542,30,10
543,20,10
544,31,10
545,30,0
546,20,9
547,30,9
548,20,10
549,29,10
550,30,1
551,20,11
552,30,10
553,20,0
554,31,10
555,30,10
556,20,9
557,30,9
558,30,0
559,20,10
560,30,11
561,20,11
562,30,10
563,30,0
564,20,10
565,30,10
566,20,1
567,30,11
568,30,10
569,20,10
570,30,11
571,30,1
572,20,10
573,30,10
574,20,10
575,30,10
576,30,1
577,20,11
578,30,10
579,31,0
580,20,9
581,30,9
582,20,10
583,30,10
584,30,0
585,20,10
586,30,11
587,30,1
588,20,10
589,31,10
590,20,9
591,30,9
592,30,0
593,20,10
594,30,10
595,30,1
596,20,11
597,30,10
598,20,10
599,31,10
600,30,0
601,20,9
602,30,9
603,30,0
604,20,10
605,31,11
606,20,11
607,30,10
608,30,0
609,21,10
610,30,10
611,30,1
612,20,11
613,30,10
614,20,10
615,31,11
616,30,1
617,20,10
618,30,10
619,30,0
620,20,10
621,30,11
622,20,1
623,30,10
624,31,10
625,20,9
626,30,9
627,30,0
628,20,10
629,30,10
630,31,1
631,20,11
632,30,10
633,20,10
634,31,10
635,30,0
636,20,9
637,30,9
638,30,0
639,20,10
640,31,11
641,20,11
642,30,10
643,30,0
644,21,10
645,30,10
646,30,1
647,20,11
648,30,10
649,20,0
650,31,9
651,30,9
652,20,10
653,30,10
654,30,0
655,21,10
656,30,11
657,30,1
658,20,10
659,31,10
660,20,9
661,30,9
662,30,0
663,20,10
664,30,10
665,31,1
666,20,11
667,30,10
668,20,0
669,31,10
670,30,10
671,20,9
672,30,9
673,30,0
674,20,10
675,31,11
676,30,1
677,20,10
678,30,10
679,21,10
680,30,10
681,30,1
682,20,11
683,30,10
684,31,0
685,20,9
686,30,9
687,20,0
688,30,10
689,30,10
690,21,10
691,30,11
692,30,1
693,20,10
694,31,10
695,30,0
696,20,9
697,30,9
698,20,10
699,30,10
700,31,1
701,20,11
702,30,10
703,30,0
704,21,10
705,30,10
706,20,9
707,30,9
708,30,0
709,20,10
710,31,11
711,30,1
712,20,10
713,30,10
714,21,10
715,30,10
